,comment,like,time,title_list
113,"I'm in shambles and the game hasn't even started yet. This T1 roster is LITERALLY family. What an incredible journey it has been with this T1 roster, thank you",46,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
114,I hope WBG wins. I don't even like them. I just want to see all the Faker fanboys cry .,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
115, @DonKey496 did you cry?,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
116, @DonKey496 did u cry ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
117, @DonKey496 Did you cry?,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
118,From 0-3 first hard lost to 3-0 clean win I hope Riot makes a movie or documentary of this man's moment.,19,3 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
119,"the production team for this year's worlds videos are top tier. props, the hype is real",21,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
120,"This is what I love about LOL, the cinematography.How its conveyed, they truly know how to hype and intensify.T1 vs the LPL is such a powerful line, GLHF to both teams but I hope T1 wins this!!",11,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
121,"Jesus, I almost cried seeing that scene where the caster said that this might be the last time we get to see this T1 roster. Hope they finally win. My heart wouldn't be able to take it if they lose again. I'm not ready for this worlds to end :((",372,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
122,"Also, it's been a while since I've seen an intro like this. Jeez, whoever's getting paid to make this should be getting paid properly",19,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
123,이 티원 로스터는 앞으로최소 2년은 더해야 합니다제발,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
124, @salazar2441 will faker play again or retire?￼,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
125,will faker play again or retire?￼,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
126,But why do they say that? About being the last time they play together,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
127, @chococat-nim this roster failed to win 5 finals. They even had hard time during summer split. And then there's the LCK salary cap.,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
128, @chococat-nim idk bro but i believe faker posted around the start of 2023 that this year will be his final run.,0,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
129,"Faker is the only one with a renewed contract until 2025 if im not mistaken, and rumours say the roster is gonna change for 2024",3,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
130, @NitProVale oner has one till 2024 as well,1,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
